403,964
151,739
885,673
685,999
644,386
191,913
225,663
405,969
467,682
96,52
888,693
243,705
88,641
520,908
90,522
241,769
81,695
899,319
594,719
970,180
647,106
82,829
255,493
881,328
629,545
879,576
859,637
350,186
283,542
937,708
671,560
31,597
168,208
486,269
412,593
147,959
511,644
346,389
680,812
205,244
401,889
100,736
162,773
305,866
185,156
445,801
229,857
416,869
571,875
411,234
883,559
341,669
620,57
897,741
954,489
234,133
702,631
67,933
237,460
994,626
985,614
723,687
14,198
210,469
276,99
738,771
515,750
670,474
787,918
585,478
425,435
778,721
597,624
313,339
921,804
915,187
70,781
555,890
429,19
91,121
968,227
436,968
993,941
815,266
252,275
62,280
672,341
288,580
617,703
219,930
995,307
929,439
794,526
925,72
115,8
369,646
950,260
316,888
499,430
47,784
655,42
446,885
224,867
952,161
171,442
622,171
664,206
192,796
466,505
721,470
396,895
949,454
773,834
667,418
169,988
449,651
182,922
507,297
652,31
301,143
660,293
79,636
748,462
735,791
271,178
4,68
97,961
661,982
34,992
164,572
762,909
367,900
870,567
533,425
495,40
732,751
282,150
742,904
663,3
187,787
719,861
902,927
9,410
800,715
707,212
256,69
610,994
978,452
46,162
601,984
