403,964
151,739
885,673
685,999
644,386
191,913
225,663
405,969
467,682
96,52
888,693
243,705
88,641
520,908
90,522
241,769
81,695
899,319
594,719
970,180
647,106
82,829
255,493
881,328
629,545
879,576
859,637
350,186
283,542
937,708
671,560
31,597
168,208
486,269
412,593
147,959
511,644
346,389
680,812
205,244
401,889
100,736
162,773
305,866
185,156
445,801
229,857
416,869
571,875
411,234
883,559
341,669
620,57
897,741
954,489
234,133
702,631
67,933
237,460
994,626
985,614
723,687
14,198
210,469
276,99
738,771
515,750
670,474
787,918
585,478
425,435
778,721
597,624
313,339
921,804
915,187
70,781
555,890
429,19
91,121
968,227
436,968
993,941
815,266
252,275
62,280
672,341
288,580
617,703
219,930
995,307
929,439
794,526
925,72
115,8
369,646
950,260
316,888
499,430
47,784
655,42
446,885
224,867
952,161
171,442
622,171
664,206
192,796
466,505
721,470
396,895
949,454
773,834
667,418
169,988
449,651
182,922
507,297
652,31
301,143
660,293
79,636
748,462
735,791
271,178
4,68
97,961
661,982
34,992
164,572
762,909
367,900
870,567
533,425
495,40
732,751
282,150
742,904
663,3
187,787
719,861
902,927
9,410
800,715
707,212
256,69
610,994
978,452
46,162
601,984
857,175
44,544
483,310
500,73
905,860
188,792
816,157
584,974
404,571
232,444
468,122
559,429
824,390
980,5
240,561
212,919
791,980
835,615
649,78
873,58
399,71
409,378
287,970
59,320
326,292
49,179
163,650
728,137
431,589
78,160
155,463
768,259
422,231
181,897
890,780
197,29
669,258
363,257
958,56
238,233
589,786
41,306
366,332
339,998
648,848
562,28
556,123
726,880
913,232
746,654
782,816
393,744
150,124
693,896
11,74
475,899
934,174
982,570
379,981
488,677
13,226
703,422
575,649
739,629
325,795
940,387
716,709
990,712
64,934
302,995
560,676
645,657
611,494
231,135
496,588
975,859
390,403
960,549
809,45
52,358
662,622
103,221
25,870
900,983
916,4
558,809
105,446
307,803
141,731
395,289
718,313
659,911
257,416
450,754
370,30
845,581
337,438
32,602
365,308
806,466
